hrf_time,hrf1,hrf2,hrf3,hrf4,hrf5,hrf6,hrf7,hrf8,hrf9,hrf10,hrf11,hrf12,hrf13,hrf14,hrf15,hrf16,hrf17,hrf18
15.75,-0.20658212887059,-0.105291361090379,0.748004289619875,0.000914959800165377,0.603177901845574,0.12116665766248,0.471097502111983,0.354468850561672,0.240506251442794,-0.281245648051348,-0.446085717350371,-0.368689160110205,-0.822972793230098,-0.603120311401163,-0.947369655397636,-1.06615499629134,-1.18372437944847,-1.26768630045421
16,-0.221174226708673,-0.125299704926471,0.739525255501625,-0.0229192463436073,0.588000485793512,0.0953157799797066,0.451013294613711,0.331396007617541,0.215169624273265,-0.253354690517614,-0.427252238480688,-0.345459384929611,-0.815378958193352,-0.590442606464619,-0.949304251048885,-1.08196939234921,-1.21358206795996,-1.31186403672771
16.25,-0.234420143000905,-0.143941747733689,0.730283596247474,-0.0454491886982537,0.572600917245672,0.0706018103628453,0.431149323549673,0.308886045122627,0.190708289822779,-0.2257824203607,-0.408028059250735,-0.322177968395342,-0.80618487497043,-0.57680608112103,-0.948991525260201,-1.09472163690252,-1.23957170656354,-1.35144672571242
16.5,-0.2463331000574,-0.161170192331251,0.720249683008927,-0.0665794404254054,0.557016251151067,0.0471526287752536,0.411592054657816,0.287052658473975,0.167254092355239,-0.198937894395093,-0.388747334326686,-0.299215617467131,-0.795637078556442,-0.562495381378902,-0.946595314929141,-1.10444952815982,-1.26159767715704,-1.38619036341058
16.75,-0.256917942889715,-0.176935313549623,0.709401601581246,-0.086217098213683,0.541285080741472,0.0250899916228817,0.39242489534896,0.266004087645145,0.144931951799894,-0.173186150679167,-0.369706452415668,-0.27690221054601,-0.783951326905371,-0.547761434911265,-0.942255805925016,-1.11117837517245,-1.27956397897525,-1.41586461731222
17,-0.266146014565659,-0.1911776742044,0.69774823209916,-0.104279348036474,0.525452111079086,0.00451116675006954,0.373718996992432,0.245826740787802,0.12383909094216,-0.148716235648092,-0.35105079754097,-0.255404382623512,-0.771220290041376,-0.532720336418099,-0.93601857647838,-1.11488349426021,-1.29337300981744,-1.44029373296846
17.25,-0.273980280189637,-0.203835409947596,0.685306159584569,-0.120685901646137,0.509563576992075,-0.0144927052686111,0.355542445325048,0.226601564466831,0.104065803218654,-0.125673172564166,-0.332887982106783,-0.23484793504664,-0.757505851778392,-0.517454455245436,-0.927905543862032,-1.11552770224282,-1.30292677406006,-1.4593156165882
17.5,-0.280383707387315,-0.214846656629856,0.672091971203819,-0.135356468983567,0.493665716662512,-0.0318304804067096,0.337963330212032,0.208409509560662,0.085702386300712,-0.104201998940146,-0.315325631525086,-0.215358682793669,-0.74286990846149,-0.502046173180972,-0.917938636183678,-1.11307382378686,-1.30812728067777,-1.47276817503925
17.75,-0.285319263664113,-0.224149550739475,0.658122253562601,-0.148210761248087,0.477804767115027,-0.0474110163539446,0.321049739943781,0.191331525181357,0.0688391359969091,-0.084447747681187,-0.298471367290298,-0.197062436585961,-0.727374353156043,-0.486577868506724,-0.906139779082336,-1.10748468238586,-1.30887653884227,-1.48048931693722
18,-0.288749912150181,-0.231682225942049,0.643413585590701,-0.159168488417755,0.462026959189553,-0.0611431713141528,0.304869758025771,0.175448556993007,0.0535663460304628,-0.0665554451140821,-0.282432802442883,-0.180084999566469,-0.711081065967561,-0.471131909207057,-0.892530883920539,-1.09872308618433,-1.30507654141412,-1.48231693423332
